,id,task,dataset,description,mirror_url
359,image-captioning-on-nocaps-near-domain,image-captioning,nocaps-near-domain,,
360,medical-image-segmentation-on-2018-data,medical-image-segmentation,2018-data-science-bowl,,
361,translation-eng-nob-on-flores101-devtest,translation-eng-nob,flores101-devtest,,
362,image-generation-on-multi-dsprites,image-generation,multi-dsprites,,
363,video-prediction-on-human36m,video-prediction,human3-6m,,
364,facial-expression-recognition-on-crema-d,facial-expression-recognition,crema-d,,
365,text-classification-on-yelp-2,text-classification,yelp-2,,
366,atari-games-on-atari-2600-asterix,atari-games,atari-2600-asterix,,
367,atari-games-on-atari-2600-crazy-climber,atari-games,atari-2600-crazy-climber,,
368,atari-games-on-atari-2600-tutankham,atari-games,atari-2600-tutankham,,
369,facial-expression-recognition-on-disfa,facial-expression-recognition,disfa,,
370,few-shot-learning-on-sun397,few-shot-learning,sun397,,
371,image-classification-on-cub,image-classification,cub,,
372,facial-expression-recognition-on-bp4d,facial-expression-recognition,bp4d,,
373,edge-detection-on-biped-1,edge-detection,biped,,
374,image-matting-on-p3m-10k,image-matting,p3m-10k,,
375,multi-hop-question-answering-on-concurrentqa,multi-hop-question-answering,concurrentqa,,
376,token-classification-on-article100v7-wikigold,token-classification,article100v7-wikigold-split,,
377,token-classification-on-article100v1-wikigold,token-classification,article100v1-wikigold-split,,
378,audio-classification-on-speech-commands,audio-classification,speech-commands-1,,
379,image-generation-on-fashion-mnist,image-generation,fashion-mnist,,
380,neural-architecture-search-on-food-101,architecture-search,food-101,,
381,3d-face-modeling-on-lfw,3d-face-modeling,lfw,,
382,image-compression-on-food-101,image-compression,food-101,,
383,translation-dan-por-on-flores101-devtest,translation-dan-por,flores101-devtest,,
384,drug-discovery-on-clintox,drug-discovery,clintox,,
385,token-classification-on-wl,token-classification,wl,,
386,image-to-image-translation-on-deep-fashion-1,image-to-image-translation,deep-fashion,,
387,grayscale-image-denoising-on-kodak24-sigma30,grayscale-image-denoising,kodak24-sigma30,,
388,text-classification-on-financial-phrasebank,text-classification,financial-phrasebank-1,,
389,action-recognition-on-win-fail-action,action-recognition-in-videos,win-fail-action-understanding,,
390,translation-eng-fra-on-newsdiscusstest2015,translation-eng-fra,newsdiscusstest2015,,
391,multi-target-domain-adaptation-on-office-home,multi-target-domain-adaptation,office-home,,
392,reinforcement-learning-on-sailing-v1,reinforcement-learning-1,sailing-v1,,
393,token-classification-on-tagged-one250v8,token-classification,tagged-one250v8-wikigold-split,,
394,token-classification-on-tagged-one100v4,token-classification,tagged-one100v4-wikigold-split,,
395,respiratory-failure-on-hirid,respiratory-failure,hirid,,
396,link-prediction-on-cdcp,link-prediction,cdcp,,
397,facial-expression-translation-on-celeba,facial-expression-translation,celeba,,
398,continuous-control-on-mountain-car-limited,continuous-control,mountain-car-limited-sensors,,
399,multi-hop-question-answering-on-concurrentqa,multi-hop-question-answering,concurrentqa,,
400,neural-architecture-search-on-imagenet,architecture-search,imagenet,,
401,token-classification-on-article100v2-wikigold,token-classification,article100v2-wikigold-split,,
402,machine-reading-comprehension-on-uquad,machine-reading-comprehension,uquad,,
403,pose-retrieval-on-mpi-inf-3dhp,pose-retrieval,mpi-inf-3dhp,,
404,salient-object-detection-on-ecssd-1,salient-object-detection-1,ecssd,,
405,unsupervised-saliency-detection-on-ecssd,unsupervised-saliency-detection,ecssd,,
406,graph-classification-on-mnist,graph-classification,mnist,,
407,graph-regression-on-esol,graph-regression,esol,,
408,translation-swe-tur-on-flores101-devtest,translation-swe-tur,flores101-devtest,,
409,chinese-word-segmentation-on-as,chinese-word-segmentation,as,,
410,image-classification-on-df20,image-classification,df20,,
411,lexical-relation-classification-bless-on,lexical-relation-classification-bless,bless,,
412,paraphrase-identification-on-mrpc,paraphrase-identification,mrpc,,
413,speaker-diarization-on-ami-mixheadset,speaker-diarization,ami-mixheadset,,
414,visual-question-answering-on-vqa-v2-val,visual-question-answering,vqa-v2-val,,
415,semantic-segmentation-on-skyscapes-lane-1,semantic-segmentation,skyscapes-lane,,
416,lip-reading-on-tcd-timit-corpus-mixed-speech,lip-reading,tcd-timit-corpus-mixed-speech,,
417,graph-classification-on-hiv-fmri-77-1,graph-classification,hiv-fmri-77-1,,
418,translation-deu-spa-on-newstest2010,translation-deu-spa,newstest2010,,
419,translation-heb-nob-on-flores101-devtest,translation-heb-nob,flores101-devtest,,
420,translation-fas-por-on-flores101-devtest,translation-fas-por,flores101-devtest,,
421,translation-por-glg-on-flores101-devtest,translation-por-glg,flores101-devtest,,
422,translation-ukr-lit-on-flores101-devtest,translation-ukr-lit,flores101-devtest,,
423,translation-fra-ukr-on-flores101-devtest,translation-fra-ukr,flores101-devtest,,
424,dependency-grammar-induction-on-wsj,dependency-grammar-induction,wsj,,
425,automatic-speech-recognition-on-ravnursson-1,automatic-speech-recognition,ravnursson-test,,
426,camera-shot-boundary-detection-on-soccernet,camera-shot-boundary-detection,soccernet-v2,,
427,face-alignment-on-wflw,face-alignment,wflw,,
428,automatic-speech-recognition-on-ravnursson-1,automatic-speech-recognition,ravnursson-test,,
429,node-classification-on-bitcoin-alpha,node-classification,bitcoin-alpha,,
430,ecg-classification-on-physionet-challenge,ecg-classification,physionet-challenge-2020,,
431,prehistory-on-big-bench,prehistory,big-bench,,
432,domain-adaptation-on-ucf-hmdb-full,domain-adaptation,ucf-hmdb-full-1,,
433,sleep-arousal-detection-on-mesa,sleep-arousal-detection,mesa,,
434,token-classification-on-tagged-one100v1,token-classification,tagged-one100v1-wikigold-split,,
435,wnli-on-wnli,wnli,wnli,,
436,token-classification-on-tagged-one50v9,token-classification,tagged-one50v9-wikigold-split,,
437,unsupervised-video-object-segmentation-on,unsupervised-video-object-segmentation,davis-2016,,
438,video-object-segmentation-on-davis-2016,video-object-segmentation,davis-2016,,
439,self-supervised-video-retrieval-on-ucf101,self-supervised-video-retrieval,ucf101,,
440,monocular-depth-estimation-on-kitti-2,monocular-depth-estimation,kitti,,
441,named-entity-recognition-ner-on-ontonotes-v5,named-entity-recognition-ner,ontonotes-v5-english,,
442,action-recognition-in-videos-on-ucf101,action-recognition-in-videos,ucf101,,
443,unsupervised-person-re-identification-on-10,unsupervised-person-re-identification,ilids-vid,,
444,text-image-retrieval-on-coco-1,texture-image-retrieval,coco,,
445,prompt-engineering-on-ucf101,prompt-engineering,ucf101,,
446,representation-learning-on-cifar10,representation-learning,cifar10,,
447,speech-recognition-on-common-voice-catalan,speech-recognition,common-voice-catalan,,
448,fine-grained-image-recognition-on-cub-200,fine-grained-image-recognition,cub-200-2011,,
449,automatic-speech-recognition-on-librispeech-4,automatic-speech-recognition,librispeech,,
450,scene-graph-detection-on-visual-genome,scene-graph-detection,visual-genome,,
451,nested-named-entity-recognition-on-genia,nested-named-entity-recognition,genia,,
452,translation-eng-ces-on-newstest2018,translation-eng-ces,newstest2018,,
453,translation-ces-eng-on-newstest2016,translation-ces-eng,newstest2016,,
454,multiple-choice-on-swag,multiple-choice,swag,,
455,reinforcement-learning-on-sokoban-v0,reinforcement-learning-1,sokoban-v0,,
456,trajectory-prediction-on-trajair-a-general,trajectory-prediction,trajair,,
457,chinese-reading-comprehension-on-cjrc,chinese-reading-comprehension,cjrc,,
458,event-argument-extraction-on-ace2005,event-argument-extraction,ace2005,,
459,joint-demosaicing-and-denoising-on-urban100,joint-demosaicing-and-denoising,urban100,,
460,speech-recognition-on-common-voice-8-0-basque,speech-recognition,common-voice-8-0-basque,,
461,action-recognition-in-videos-on-ntu-rgbd-120,action-recognition-in-videos,ntu-rgb-d-120,,
462,anatomy-on-big-bench,anatomy,big-bench,,
463,entailed-polarity-on-big-bench,entailed-polarity,big-bench,,
464,siqa-on-big-bench,siqa,big-bench,,
465,nutrition-on-big-bench,nutrition,big-bench,,
466,human-sexuality-on-big-bench,human-sexuality,big-bench,,
467,lambada-on-big-bench,lambada,big-bench,,
468,high-school-computer-science-on-big-bench,high-school-computer-science,big-bench,,
469,visual-place-recognition-on-berlin-kudamm,visual-place-recognition,berlin-kudamm,,
470,column-type-annotation-on-viznet-sato-full,column-type-annotation,viznet-sato-full,,
471,spam-detection-on-context-specific-spam,spam-detection,context-specific-spam,,
472,deblurring-on-hide,deblurring,hide,,
473,spam-detection-on-context-specific-spam,spam-detection,context-specific-spam,,
474,atari-games-on-atari-2600-beam-rider,atari-games,atari-2600-beam-rider,,
475,image-classification-on-inat2021-mini,image-classification,inat2021-mini,,
476,face-clustering-on-easycom,face-clustering,easycom,,
477,few-shot-object-detection-on-ms-coco-10-shot,few-shot-object-detection,ms-coco-10-shot,,
478,visual-question-answering-on-vizwiz-2020,visual-question-answering,vizwiz-2020-answerability,,
479,translation-bel-glg-on-flores101-devtest,translation-bel-glg,flores101-devtest,,
480,traffic-prediction-on-pemsd7-10-days-training-1,traffic-prediction,pemsd7-10-days-training-data-30min,,
481,ecg-classification-on-physionet-challenge-1,ecg-classification,physionet-challenge-2021,,
482,slot-filling-on-mixatis,slot-filling,mixatis,,
483,sst-2-on-sst-2,sst-2,sst-2,,
484,video-background-subtraction-on-davis-2017-7,video-background-subtraction,davis-2017-sidewalk,,
485,semantic-segmentation-on-synpass,semantic-segmentation,synpass,,
486,token-classification-on-tner-conll2003,token-classification,tner-conll2003,,
487,node-classification-on-texas-60-20-20-random,node-classification,texas-60-20-20-random-splits,,
488,monocular-depth-estimation-on-ddad,monocular-depth-estimation,ddad,,
489,medical-image-segmentation-on-robust-mis,medical-image-segmentation,robust-mis,,
490,reinforcement-learning-on-1,reinforcement-learning-1,bipedalwalkerhardcore-v3,,
491,graph-classification-on-tox21,graph-classification,tox21-1,,
492,token-classification-on-chn-senti-corp,token-classification,chn-senti-corp,,
493,gzsl-video-classification-on-ucf-gzsl-cls,gzsl-video-classification,ucf-gzsl-cls,,
494,few-shot-audio-classification-on-esc-50,few-shot-audio-classification,esc-50,,
495,action-recognition-in-videos-on-ucf101-2,action-recognition-in-videos-2,ucf101,,
496,person-re-identification-on-prid2011,person-re-identification,prid2011,,
